title,release_date,genres
I Origins,2014-07-18,"Science Fiction, Drama"
Zathura: A Space Adventure,2005-11-06,"Science Fiction, Adventure, Family"
The Cloverfield Paradox,2018-02-04,"Horror, Science Fiction, Action, Thriller"
Surrogates,2009-09-24,"Science Fiction, Action, Thriller"
Self/less,2015-07-10,"Science Fiction, Mystery, Thriller, Action"
Resident Evil: The Final Chapter,2016-12-23,"Action, Horror, Science Fiction"
Austin Powers in Goldmember,2002-07-26,"Comedy, Crime, Science Fiction"
Brightburn,2019-05-09,"Horror, Science Fiction, Thriller, Mystery"
Underwater,2020-01-08,"Horror, Science Fiction, Action, Adventure"
The Tomorrow War,2021-09-03,"Action, Science Fiction, Adventure"
Next,2007-04-25,"Action, Science Fiction, Thriller"
Dragon Ball Super: Broly,2018-12-14,"Action, Science Fiction, Animation"
Palm Springs,2020-07-10,"Comedy, Romance, Science Fiction"
The Thing,2011-10-12,"Horror, Science Fiction, Mystery, Thriller"
Project Power,2020-08-14,"Action, Crime, Science Fiction"
Overlord,2018-11-01,"Horror, War, Science Fiction"
Aliens vs Predator: Requiem,2007-12-25,"Fantasy, Action, Science Fiction, Thriller, Horror"
Coherence,2013-09-19,"Thriller, Science Fiction"
Idiocracy,2006-09-01,"Comedy, Science Fiction, Adventure"
The Fountain,2006-11-22,"Drama, Adventure, Science Fiction, Romance"
The Host,2006-07-27,"Horror, Drama, Science Fiction"
Project Almanac,2015-01-28,"Science Fiction, Thriller, Drama"
They Call Me Jeeg,2016-02-25,"Crime, Drama, Action, Science Fiction"
I Am Mother,2019-06-07,"Science Fiction, Thriller"
Upside Down,2012-09-27,"Romance, Science Fiction, Drama, Fantasy"
The Space Between Us,2017-01-26,"Romance, Adventure, Science Fiction, Drama"
Hollow Man,2000-08-04,"Action, Science Fiction, Thriller"
Hot Tub Time Machine,2010-03-26,"Science Fiction, Comedy, Adventure"
Elektra,2005-01-13,"Action, Fantasy, Science Fiction"
Hardcore Henry,2015-09-12,"Action, Adventure, Science Fiction"
Gamer,2009-09-03,"Action, Thriller, Science Fiction"
Resident Evil: Welcome to Raccoon City,2021-11-24,"Horror, Science Fiction, Action"
K-PAX,2001-10-22,"Science Fiction, Drama, Mystery"
Pandorum,2009-09-08,"Action, Horror, Mystery, Science Fiction, Thriller"
The Man from Earth,2007-06-10,"Science Fiction, Drama"
The Watch,2012-07-26,"Comedy, Action, Science Fiction"
Never Let Me Go,2010-03-18,"Drama, Romance, Science Fiction"
Push,2009-02-04,"Science Fiction, Action, Adventure, Thriller"
Chaos Walking,2021-02-24,"Fantasy, Science Fiction, Adventure"
Paprika,2006-10-01,"Animation, Mystery, Science Fiction, Thriller"
The Time Machine,2002-03-04,"Science Fiction, Adventure, Action"
Splice,2009-10-06,"Horror, Science Fiction, Thriller"
Doom,2005-10-20,"Action, Horror, Science Fiction"
Spy Kids 3-D: Game Over,2003-07-25,"Action, Adventure, Comedy, Family, Science Fiction"
Æon Flux,2005-11-30,"Science Fiction, Action, Thriller"
Evolution,2001-06-08,"Comedy, Science Fiction, Action"
Spy Kids 2: The Island of Lost Dreams,2002-08-07,"Action, Adventure, Family, Comedy, Science Fiction"
Victor Frankenstein,2015-11-10,"Drama, Science Fiction, Thriller"
Primer,2004-10-08,"Science Fiction, Drama, Thriller"
Dragonball Evolution,2009-03-12,"Action, Adventure, Fantasy, Science Fiction, Thriller"
Attack the Block,2011-05-12,"Action, Comedy, Science Fiction"
Colossal,2017-04-06,"Drama, Fantasy, Science Fiction"
Planet 51,2009-11-19,"Animation, Family, Comedy, Science Fiction, Adventure"
Babylon A.D.,2008-08-20,"Action, Adventure, Science Fiction, Thriller"
The Girl Who Leapt Through Time,2006-07-15,"Fantasy, Animation, Drama, Science Fiction"
The 6th Day,2000-11-17,"Science Fiction, Action, Mystery"
The Girl with All the Gifts,2016-09-23,"Action, Horror, Science Fiction"
Star Wars: The Clone Wars,2008-08-05,"Animation, Action, Science Fiction, Adventure"
Daybreakers,2009-10-01,"Action, Fantasy, Science Fiction"
Vivarium,2019-09-07,"Science Fiction, Thriller, Mystery, Horror"
Circle,2015-05-28,"Science Fiction, Mystery, Drama, Thriller, Horror"
How It Ends,2018-07-13,"Science Fiction, Thriller, Mystery, Action, Adventure"
Repo Men,2010-03-18,"Action, Science Fiction, Thriller, Crime"
The Tuxedo,2002-09-27,"Thriller, Action, Comedy, Science Fiction"
Midnight Special,2016-02-12,"Adventure, Drama, Science Fiction"
Child's Play,2019-06-19,"Horror, Thriller, Science Fiction"
Kung Fury,2015-05-22,"Action, Comedy, Science Fiction, Fantasy"
"Dude, Where's My Car?",2000-12-15,"Comedy, Science Fiction"
Dragon Ball Z: Resurrection 'F',2015-04-18,"Action, Animation, Science Fiction"
A Wrinkle in Time,2018-03-08,"Adventure, Science Fiction, Family, Fantasy"
Lockout,2012-04-12,"Action, Thriller, Science Fiction"
Justice League: The Flashpoint Paradox,2013-07-30,"Science Fiction, Animation, Action, Adventure"
The Core,2003-03-28,"Action, Thriller, Adventure, Science Fiction"
District B13,2004-11-09,"Action, Thriller, Science Fiction"
Dark Skies,2013-02-21,"Science Fiction, Thriller, Horror"
The Midnight Sky,2020-12-10,"Science Fiction, Drama"
Outside the Wire,2021-01-15,"Thriller, Action, Science Fiction"
Extinction,2018-07-15,"Action, Drama, Science Fiction, Thriller"
Paycheck,2003-12-25,"Action, Adventure, Mystery, Science Fiction, Thriller"
Ron's Gone Wrong,2021-10-14,"Animation, Science Fiction, Family, Comedy"
Superhero Movie,2008-03-28,"Comedy, Action, Science Fiction"
The Box,2009-10-29,"Thriller, Science Fiction"
Dreamcatcher,2003-03-21,"Drama, Horror, Science Fiction, Thriller"
Criminal,2016-04-07,"Action, Crime, Science Fiction"
A Scanner Darkly,2006-07-07,"Animation, Science Fiction, Thriller"
Code 8,2019-12-06,"Science Fiction, Action, Crime"
Frequency,2000-04-28,"Science Fiction, Thriller"
Race to Witch Mountain,2009-03-12,"Adventure, Family, Fantasy, Science Fiction, Thriller, Action"
The Fourth Kind,2009-11-06,"Mystery, Science Fiction, Thriller"
Reminiscence,2021-08-18,"Mystery, Science Fiction"
Spectral,2016-12-09,"Science Fiction, Thriller, Action"
The Signal,2014-03-15,"Thriller, Science Fiction"
Artemis Fowl,2020-06-12,"Adventure, Fantasy, Science Fiction, Family, Action"
Automata,2014-10-09,"Thriller, Science Fiction"
Skyline,2010-11-11,"Science Fiction, Adventure, Action, Thriller"
Another Earth,2011-07-22,"Drama, Science Fiction"
Sharknado,2013-07-11,"Horror, Action, Comedy, Science Fiction, Adventure"
Iron Sky,2012-04-04,"Action, Comedy, Science Fiction"
Batman: Under the Red Hood,2010-07-27,"Science Fiction, Crime, Action, Animation, Mystery"
"Batman: The Dark Knight Returns, Part 1",2012-08-21,"Science Fiction, Action, Animation, Mystery"
Infinite,2021-09-09,"Science Fiction, Action, Thriller"
Ultraviolet,2006-03-03,"Science Fiction, Action, Thriller"
Anon,2018-05-03,Science Fiction
The Animatrix,2003-05-09,"Animation, Science Fiction"
Land of the Dead,2005-06-18,"Horror, Science Fiction"
The One,2001-11-02,"Action, Science Fiction, Thriller"
